offer_id,title,brand,product_type,exclude_reason
REME01,REME HALO UV Air Purofier,"RGF Environmental Group, Inc.",hvac parts supplies,"Brand not allowed: RGF Environmental Group, Inc."
GPHH34831,Goodman 2 Ton 13.4 SEER2 Packaged Heat Pump - GPHH34831,Goodman,goodman 1,Title indicates parts/supplies
S-CHPEA2422B3,Solace 2 Ton R-32 Horizontal Evaporator Coil - S-CHPEA2422B3,Solace,solace,Brand not allowed: Solace
S-GR9S801005CNA,Solace 80% AFUE Gas Furnace - S-GR9S801005CNA,Solace,solace > furnaces > 100k btu,Brand not allowed: Solace
"S-GLZS5BA3010,S-AWST30LU1308",SOLACE 2.5 Ton 15.2 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler,Solace,solace,Brand not allowed: Solace
CE4104,4x10x4 Center End Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
S-GPHM33631,Solace 3 Ton 13.4 SEER2 Packaged Heat Pump - S-GPHM33631,Solace,solace,Brand not allowed: Solace
16804313994500339529,"SOLACE 4 Ton 17.5 SEER2 R-32 96% AFUE 80,000 BTU Dual Fuel System (Upflow Coil)",Solace,,Brand not allowed: Solace
S-GPGM34806031,Solace 4 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM34806031,Solace,solace,Brand not allowed: Solace
SB6106,6x10x6 Straight Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
LCAP50,Refrigerant Locking Cap (50 Count),,hvac parts supplies,Brand not allowed: BLANK
DL599,Wireless TRMS Clamp Meter w/ 3-Phase Rotation Tests,UEI,tools,Brand not allowed: UEI
12ROME,½” Romex Connectors,,hvac parts supplies,Brand not allowed: BLANK
S-GPGM34808031,Solace 4 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM34808031,Solace,solace,Brand not allowed: Solace
230UNICFM825,1/6-1/3 Multi-Horsepower Universal Condenser Fan Motor 825 RPM,,hvac parts supplies,Brand not allowed: BLANK
CAP3MF,3 MF / 440 VA 440V 3 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
SPY600635P,Spyder 1/2-in Rapid Core Eject Quick Change Steel/Tungsten Carbide Hole Saw Arbor,Spyder,tools > spyder products > drill bits blades and hole saws,Brand not allowed: Spyder
AA8190F,Aprilaire 8190FF Ventilation Kit for E100V,Aprilaire,hvac parts supplies,Brand not allowed: Aprilaire
PLENAHDFR,D Width Air Handler Return Support Plenum Box With 24x20x1 Filter R...,,hvac parts supplies,Brand not allowed: BLANK
END314,"End Cap Only (3.25 X 14) 25"" x 14"" HVAC Duct",,hvac parts supplies,Brand not allowed: BLANK
GPHH56031,Goodman 5 Ton 15.2 SEER2 Packaged Heat Pump - GPHH56031,Goodman,goodman 1,Title indicates parts/supplies
S-HKTSN08X1,Solace 8kW Electric Heat Kit - S-HKTSN08X1,Solace,solace,Brand not allowed: Solace
S-AMVT24BP1300,Solace 2 Ton R-32 Air Handler - S-AMVT24BP1300,Solace,solace,Brand not allowed: Solace
S-GLZS5BA4210,Solace 3.5 Ton 15.2 SEER2 R-32 Heat Pump - S-GLZS5BA4210,Solace,solace,Brand not allowed: Solace
"RP15AY42AJ2NA, R801T0754A21UHSNAS, RCFY4821STANMC",Rheem 3.5 Ton Dual Fuel System - 15.0 SEER2 Heat Pump & 80% AFUE Furnace,Rheem,rheem,Title indicates parts/supplies
S-GZV7SA4210,Solace 3.5 Ton 17.5 SEER2 R-32 Heat Pump - S-GZV7SA4210,Solace,solace,Brand not allowed: Solace
AA8052,Aprilaire 8052 Outdoor and Indoor Temp Sensor,Aprilaire,hvac parts supplies,Brand not allowed: Aprilaire
S-AWST36LU1310A,Solace 3 Ton R-32 Wall-Mount Air Handler - S-AWST36LU1310A,Solace,solace,Brand not allowed: Solace
S-GLXT7CA2410,Solace 2 Ton 17.2 SEER2 R-32 Air Conditioner - S-GLXT7CA2410,Solace,solace,Brand not allowed: Solace
S-GLXT7CA3610,Solace 3 Ton 17.2 SEER2 R-32 Air Conditioner - S-GLXT7CA3610,Solace,solace,Brand not allowed: Solace
S-GLZT7CA3610,Solace 3 Ton 17.2 SEER2 R-32 Heat Pump - S-GLZT7CA3610,Solace,solace,Brand not allowed: Solace
3812115866791764986,Goodman 2.5 Ton R-32 Heat Pump Condenser - GZV6SA3010,Goodman,,Title indicates parts/supplies
S-GLXS5BA1810,Solace 1.5 Ton 15.2 SEER2 R-32 Air Conditioner - S-GLXS5BA1810,Solace,solace,Brand not allowed: Solace
"S-GLZS4BA1810,S-GR9S920403ANA,S-CAPTA2422A3",SOLACE 1.5 Ton 14.3 SEER2 R-32 92% AFUE Dual Fuel System (Upflow Coil),Solace,goodman 1,Brand not allowed: Solace
AAC1210,Aprilaire 1210 Media Air Cleaner (20x25),Aprilaire,hvac parts supplies,Brand not allowed: Aprilaire
UNI825,1/6-1/3 HP Uni. Multi HP CFM 825 RPM,,,Brand not allowed: BLANK
