brand,product_id,sku,product_name,image_id,image_url,field_changed,before,after,status,error
Goodman,2564,GLXS4BA3610,Goodman GLXS4BA3610 3 Ton R-32 Air Conditioner,7363,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2564/images/7363/1724269141.1280.1280__55148.1724273225.386.513.jpg?c=1,description,,Goodman GLXS4BA3610 3 Ton R 32 Air Conditioner,updated,
Goodman,2564,GLXS4BA3610,Goodman GLXS4BA3610 3 Ton R-32 Air Conditioner,7364,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2564/images/7364/1724269141.1280.1280__73627.1724273225.386.513.jpg?c=1,description,,Goodman GLXS4BA3610 3 Ton R 32 Air Conditioner,updated,
Goodman,2564,GLXS4BA3610,Goodman GLXS4BA3610 3 Ton R-32 Air Conditioner,7365,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2564/images/7365/1724269141.1280.1280__78659.1724273225.386.513.png?c=1,description,,Goodman GLXS4BA3610 3 Ton R 32 Air Conditioner,updated,
Goodman,2565,GLXS4BA4210,Goodman GLXS4BA4210 Ton R-32 Air Conditioner,7366,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2565/images/7366/1724269141.1280.1280__73627.1724273225.1280.1280__53544.1724273597.386.513.jpg?c=1,description,,Goodman GLXS4BA4210 Ton R 32 Air Conditioner,updated,
Goodman,2565,GLXS4BA4210,Goodman GLXS4BA4210 Ton R-32 Air Conditioner,7367,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2565/images/7367/1724269141.1280.1280__61847.1724273225.1280.1280__55141.1724273597.386.513.jpg?c=1,description,,Goodman GLXS4BA4210 Ton R 32 Air Conditioner,updated,
Goodman,2565,GLXS4BA4210,Goodman GLXS4BA4210 Ton R-32 Air Conditioner,7368,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2565/images/7368/1724269141.1280.1280__90625.1724273225.1280.1280__23277.1724273597.386.513.jpg?c=1,description,,Goodman GLXS4BA4210 Ton R 32 Air Conditioner,updated,
Goodman,2565,GLXS4BA4210,Goodman GLXS4BA4210 Ton R-32 Air Conditioner,7369,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2565/images/7369/1724269141.1280.1280__78659.1724273225.1280.1280__93109.1724273597.386.513.png?c=1,description,,Goodman GLXS4BA4210 Ton R 32 Air Conditioner,updated,
Goodman,2565,GLXS4BA4210,Goodman GLXS4BA4210 Ton R-32 Air Conditioner,7370,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2565/images/7370/1724269141.1280.1280__55148.1724273225.1280.1280__93761.1724273597.386.513.jpg?c=1,description,,Goodman GLXS4BA4210 Ton R 32 Air Conditioner,updated,
Goodman,2565,GLXS4BA4210,Goodman GLXS4BA4210 Ton R-32 Air Conditioner,7371,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2565/images/7371/1724269141.1280.1280__67888.1724273225.1280.1280__86585.1724273597.386.513.jpg?c=1,description,,Goodman GLXS4BA4210 Ton R 32 Air Conditioner,updated,
Goodman,2566,GLXS4BA4810,Goodman GLXS4BA4810 4 Ton R-32 Air Conditioner,7372,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2566/images/7372/1724273597.1280.1280__29605.1724273745.386.513.jpg?c=1,description,,Goodman GLXS4BA4810 4 Ton R 32 Air Conditioner,updated,
Goodman,2566,GLXS4BA4810,Goodman GLXS4BA4810 4 Ton R-32 Air Conditioner,7373,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2566/images/7373/1724273597.1280.1280__66780.1724273745.386.513.jpg?c=1,description,,Goodman GLXS4BA4810 4 Ton R 32 Air Conditioner,updated,
Goodman,2566,GLXS4BA4810,Goodman GLXS4BA4810 4 Ton R-32 Air Conditioner,7374,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2566/images/7374/1724273597.1280.1280__24090.1724273745.386.513.jpg?c=1,description,,Goodman GLXS4BA4810 4 Ton R 32 Air Conditioner,updated,
