offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
14245645741184204640,"SOLACE 3.5 Ton 17.5 SEER2 R-32 80% AFUE 80,000 BTU Dual Fuel System (Upflow Coil)",Solace,0 USD,in stock,,,,new,,,True,solace,False,,,"GTIN, MPN"
"RP15AY18AJ2NA, RH2TY2417STANNJ, WRX05021",Rheem R-454B 1.5 Ton 15.2 SEER2 Complete Heat Pump System 5kW,Rheem,0 USD,in stock,rheem,,"RP15AY18AJ2NA, RH2TY2417STANNJ, WRX05021",new,,,True,rheem,False,,,GTIN
"S-GLXS4BA4210,S-AMST42CU13",SOLACE 3.5 Ton 14.3 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,0 USD,in stock,solace > air conditioning systems > 3 5 ton,,"S-GLXS4BA4210,S-AMST42CU13",new,,,True,solace,False,,,GTIN
R818,"18"" R-8 Flex",Quality Flex,0 USD,in stock,hvac parts supplies,,R818,new,,,False,,False,,,GTIN
"GLXS4BA6010, GR9S921005CNA, CHPTA6030D3","Goodman 5 Ton Horizontal 92% Gas System 14.3 SEER2 21"" Wide R-32",Goodman,0 USD,in stock,goodman 1,,"GLXS4BA6010, GM9S961005CNA, CHPTA6030D3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"RP14AY24AJ2NA, R801T0503A14UHSNAS, RCFY2414STAAMC","Rheem 2.0 Ton Dual Fuel System 14.3 SEER2 with 50,000 BTU 80% AFUE Furnace - R-454B",Rheem,0 USD,in stock,rheem,,"RP14AY24AJ2NA, R801T0503A14UHSNAS, RCFY2414STAAMC",new,,,True,rheem,True,RP14,Rheem RP14 Heat Pump,GTIN
AMST36BU13,Goodman AMST36BU13 3 Ton R-32 Multi-Position Air Handler,Goodman,0 USD,in stock,goodman 1,,AMST36BU13,new,,,True,goodman,False,,,GTIN
"S-GLXS4BA4810,S-AMST48CU13",SOLACE 4 Ton 14.3 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,0 USD,in stock,solace,,"S-GLXS4BA4810,S-AMST48CU13",new,,,True,solace,False,,,GTIN
16SW90,"16"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,0 USD,in stock,hvac parts supplies,,16SW90,new,,,False,,False,,,GTIN
CAP75MF,7.5 MF / 440 VA 440V 7.5 MFD HVAC Capacitor,Hartland Controls,0 USD,in stock,hvac parts supplies,,CAP75MF,new,,,False,,False,,,GTIN
MPA52700020001,">B< Maxipro 1/4"" Straight Coupler",Conex Bänninger,0 USD,in stock,hvac parts supplies,,MPA52700020001,new,,,False,,False,,,GTIN
