offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
S-AHVE24BP1300,Solace 2 Ton R-32 Air Handler - S-AHVE24BP1300,Solace,0 USD,in stock,solace,,S-AHVE24BP1300,new,,,True,solace,False,,,GTIN
"S-GLZS5BA1810,S-AMST24BU13",SOLACE 1.5 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,0 USD,in stock,solace,,"S-GLZS5BA1810,S-AMST24BU13",new,,,True,solace,False,,,GTIN
17425743676521682582,GOODMAN 2.5 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler,Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
"GLZS4BA2410, GR9S920403ANA, CAPTA2422A3","Goodman 2 Ton Upflow Dual Fuel 92% Gas System 14.3 SEER2 14"" Wide R-32",Goodman,0 USD,in stock,goodman 1,,"GLZS4BA2410, GM9S960403ANA, CAPTA2422A3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"GLZS4BA2410, AMST24BU13",GOODMAN 2 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLZS4BA2410, AMST24BU13, HKTSN05X1",new,,,True,goodman,False,,,GTIN
R801V0503A14UHSCAP,"RHEEM R801V0503A14UHSCAP - 50,000 BTU 80% AFUE Single Stage Furnace",Rheem,0 USD,in stock,rheem,,R801V0503A14UHSCAP,new,,,True,rheem,False,,,GTIN
2527593497620976739,GOODMAN 4 Ton 13.4 SEER2 R-32 80% AFUE AC System (Horizontal Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
"RA15AY24AJ1NA, RCFY2414STAAMC",Rheem 2.0 Ton 15.0 SEER2 AC & Evaporator Coil System,Rheem,0 USD,in stock,rheem,,"RA15AY24AJ1NA, RCFY2414STAAMC",new,,,True,rheem,False,,,GTIN
"GLZS5BA1810, AWST18SU1305",GOODMAN 1.5 Ton 15.2 SEER2 R-32 Heat Pump System with Wall-Hung Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLZS5BA1810, AWST18SU1305",new,,,True,goodman,False,,,GTIN
"GLXS4BA3608, AWST36SU1308",GOODMAN 3 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Hung Air Handler AND 8kw Heat Kit,Goodman,0 USD,in stock,goodman 1,,"GLXS4BA3608, AWST36SU1308",new,,,True,goodman,False,,,GTIN
"GLZS5BA4810, AMST48CU13",GOODMAN 4 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLZS5BA3010, AMST30BU13, HKTSN10X1",new,,,True,goodman,False,,,GTIN
"GLXS5BA4210, GR9S920804CNA, CAPTA4230C3",GOODMAN 3.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS5BA4210, GR9S960804CNA, CAPTA4230C3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
2199823063783258642,"SOLACE 2 Ton 17.5 SEER2 R-32 80% AFUE 60,000 BTU Dual Fuel System (Horizontal Coil)",Solace,0 USD,in stock,,,,new,,,True,solace,False,,,"GTIN, MPN"
"GLXS3BN4810, GR9S920804CNA, CHPTA4830C3",GOODMAN 4 Ton 13.4 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS3BN4810, GR9S960804CNA, CHPTA4830C3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
GD9S961005CN,"Goodman 100,000 BTU Gas Furnace 96% AFUE Single-Stage Downflow - GD9S961005CN",Goodman,0 USD,in stock,goodman 1,,GD9S961005CN,new,,,True,goodman,False,,,GTIN
"RA14AY30AJ1NA, R801T0754A17UHSNAS, RCFY3617STANMC","Rheem 2.5 Ton AC System 14.3 SEER2 with 75,000 BTU 80% AFUE Furnace - R-454B",Rheem,0 USD,in stock,rheem,,"RA14AY30AJ1NA, R801T0754A17UHSNAS, RCFY3617STANMC",new,,,True,rheem,False,,,GTIN
"S-GLXT7CA3610,S-CAPTA3626B3,S-GRVT800603BN","SOLACE 3 Ton 17.2 SEER2 R-32 80% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Upflow Coil)",Solace,0 USD,in stock,solace,,"S-GLXT7CA3610, S-CAPTA3626B3, S-GRVT800603BN",new,,,True,solace,False,,,GTIN
GLZS4BA4810,Goodman GLZS4BA4810 4 Ton R-32 Heat Pump,Goodman,0 USD,in stock,goodman 1,,GLZS4BA4810,new,,,True,goodman,False,,,GTIN
RP15AY48AJ2NA,RHEEM 4.0 Ton 15.2 SEER2 Two-Stage Heat Pump,Rheem,0 USD,in stock,rheem,,RP15AY48AJ2NA,new,,,True,rheem,False,,,GTIN
"GLXS4BA3610, GR9S800604BNA, CHPTA3630B3","Goodman 3 Ton AC System 14.3 SEER2 with 60,000 BTU 80% AFUE Furnace - R-32",Goodman,0 USD,in stock,goodman 1,,"GLXS4BA3610, GM9S800604BNA, CHPTA3630B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
R801V1255A24UHSCAP,"RHEEM R801V1255A24UHSCAP - 125,000 BTU 80% AFUE Single Stage Furnace",Rheem,0 USD,in stock,rheem,,R801V1255A24UHSCAP,new,,,True,rheem,False,,,GTIN
"GLXS5BA3610, AMST36BU13",GOODMAN 3 Ton 15.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLXS5BA3610, AMST36CU13, HKTSN08X1",new,,,True,goodman,False,,,GTIN
S-CAPEA2418B3,Solace 2 Ton R-32 Upflow Evaporator Coil - S-CAPEA2418B3,Solace,0 USD,in stock,solace,,S-CAPEA2418B3,new,,,True,solace,False,,,GTIN
16162900090665318332,"SOLACE 1.5 Ton 16.2 SEER2 R-32 96% AFUE 40,000 BTU Gas Furnace Air Conditioning System (Horizontal Coil)",Solace,0 USD,in stock,,,,new,,,True,solace,False,,,"GTIN, MPN"
R921V0855A21M4SCAP,"RHEEM R921V0855A21M4SCAP - 85,000 BTU 92% AFUE Single Stage Furnace",Rheem,0 USD,in stock,rheem,,R921V0855A21M4SCAP,new,,,True,rheem,False,,,GTIN
"RA14AY36AJ1NA, RH2TY3617STANNJ, WRX10021",Rheem 3.0 Ton AC System 14.3 SEER2 with Air Handler & 10kW Heat Kit - R-454B,Rheem,0 USD,in stock,rheem,,"RA14AY36AJ1NA, RH2TY3617STANNJ, WRX10021",new,,,True,rheem,False,,,GTIN
RXQ12ASBU9,Daikin OTERRA 18 SEER2 12K BTU Heat Pump R-32,Daikin,0 USD,in stock,daikin,,RXQ12ASBU9,new,,,True,daikin,False,,,GTIN
"GLXS5BA3010, GR9S920603BNA, CAPTA3626B3",GOODMAN 2.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS5BA3010, GR9S960603BNA, CAPTA3626B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"GLXT7CA6010, CHPTA6030D3, GRVT801005CN",GOODMAN 5 Ton 17.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLXT7CA6010, CHPTA6030D3, GRVT801005CN",new,,,True,goodman,False,,,GTIN
GZV6SA2410,Goodman 2 Ton R-32 Heat Pump Condenser - GZV6SA2410,Goodman,0 USD,in stock,goodman 1,,GZV6SA2410,new,,,True,goodman,False,,,GTIN
10618567988679242141,GOODMAN 1.5 Ton 13.4 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
"RA14AY48AJ1NA, R921T1005A21M4SNAS, RCFY4821STANMC","Rheem 4.0 Ton AC System 14.3 SEER2 with 100,000 BTU 92% AFUE Furnace - R-454B",Rheem,0 USD,in stock,rheem,,"RA14AY48AJ1NA, R921T1005A21M4SNAS, RCFY4821STANMC",new,,,True,rheem,False,,,GTIN
AWST30LU1308A,Goodman AWST30LU1308A Wall-Mount Air Handler,Goodman,0 USD,in stock,goodman 1,,AWST30LU1308A,new,,,True,goodman,False,,,GTIN
"RP15AY48AJ2NA, R801T1005A21UHSNAS, RCFY4821STANMC",Rheem 4.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 80% AFUE Furnace,Rheem,0 USD,in stock,rheem,,"RP15AY48AJ2NA, R801T1005A21UHSNAS, RCFY4821STANMC",new,,,True,rheem,False,,,GTIN
