id	excluded_destination
RED65	Shopping_ads
CAP253MF	Shopping_ads
BPLENFR	Shopping_ads
SCLIP01	Shopping_ads
D SB PIPE THREAD	Shopping_ads
4COL	Shopping_ads
4034PVC10-1	Shopping_ads
BTOE214	Shopping_ads
9081410	Shopping_ads
12TRAC1	Shopping_ads
CAP464	Shopping_ads
RLYSPDT	Shopping_ads
SWCAP10	Shopping_ads
CAP15MF	Shopping_ads
C163	Shopping_ads
34SEALT1	Shopping_ads
RB142012	Shopping_ads
34PVC90	Shopping_ads
MSL1425	Shopping_ads
BOCA518	Shopping_ads
AA103W	Shopping_ads
PAD3636	Shopping_ads
ARMA34	Shopping_ads
QFLSH810	Shopping_ads
DPLENFR	Shopping_ads
34PVCC	Shopping_ads
BLNKCVR1	Shopping_ads
H-214	Shopping_ads
AA213	Shopping_ads
PVC23R	Shopping_ads
6SW90	Shopping_ads
MPA5285G0050501	Shopping_ads
C165+N	Shopping_ads
THERMO36	Shopping_ads
AAPLEN1910	Shopping_ads
04-30-300UB	Shopping_ads
CSRU3	Shopping_ads
CE4106	Shopping_ads
PF1625	Shopping_ads
ROSSLV6	Shopping_ads
3PVC90	Shopping_ads
RECCVR01	Shopping_ads
RSWG1414	Shopping_ads
R810	Shopping_ads
230UNIIBM1075	Shopping_ads
RED45	Shopping_ads
H-SR01	Shopping_ads
115RECEP	Shopping_ads
DIY-24-HP-WM-230D25-O	Shopping_ads
WFLR104	Shopping_ads
RED34	Shopping_ads
52336	Shopping_ads
12HOLE	Shopping_ads
T-200	Shopping_ads
C165+NOILKIT	Shopping_ads
AA6403K	Shopping_ads
HUB4	Shopping_ads
WETSW01	Shopping_ads
PAD3232	Shopping_ads
AAE100V	Shopping_ads
14-28-300	Shopping_ads
STR9078	Shopping_ads
SB4104	Shopping_ads
GASNIP344	Shopping_ads
BOCA01	Shopping_ads
R618	Shopping_ads
2PVC90	Shopping_ads
DM515	Shopping_ads
8ROOF	Shopping_ads
RSB101	Shopping_ads
DBOX26	Shopping_ads
SUCTVALV	Shopping_ads
R612	Shopping_ads
RB141412	Shopping_ads
PLENDSB	Shopping_ads
ROSSI12	Shopping_ads
4EAVEDRYER	Shopping_ads
PAD1838	Shopping_ads
12-BI-6TPI	Shopping_ads
BTOE210	Shopping_ads
R808	Shopping_ads
ATK01	Shopping_ads
QFLSHS	Shopping_ads
FRG144	Shopping_ads
GAS1COUP	Shopping_ads
3WAY104	Shopping_ads
12SEALT1	Shopping_ads
PRSSWTCH	Shopping_ads
SS1	Shopping_ads
SB-32	Shopping_ads
CLM100	Shopping_ads
MPA52700040001	Shopping_ads
GASNIP342	Shopping_ads
3WAY126	Shopping_ads
102WIRE50	Shopping_ads
DL489	Shopping_ads
RED76	Shopping_ads
CP2	Shopping_ads
50A2PBR	Shopping_ads
RED86	Shopping_ads
Y866	Shopping_ads
DISC60	Shopping_ads
11BLKSTP	Shopping_ads
03-30-300UB	Shopping_ads
TK-174	Shopping_ads
CSRU2	Shopping_ads
91050	Shopping_ads
AA413	Shopping_ads
MPA5002 0030001	Shopping_ads
SAUERMSIWP	Shopping_ads
12TRACML	Shopping_ads
RED64	Shopping_ads
AA8466	Shopping_ads
CPLENFR	Shopping_ads
Y141210	Shopping_ads
JTEKD6	Shopping_ads
PAN2032	Shopping_ads
HUB6	Shopping_ads
60A2PBR	Shopping_ads
ATT29APACK	Shopping_ads
3PVC45	Shopping_ads
REME01	Shopping_ads
CE4104	Shopping_ads
SB6106	Shopping_ads
LCAP50	Shopping_ads
DL599	Shopping_ads
12ROME	Shopping_ads
230UNICFM825	Shopping_ads
CAP3MF	Shopping_ads
SPY600635P	Shopping_ads
AA8190F	Shopping_ads
PLENAHDFR	Shopping_ads
END314	Shopping_ads
AA8052	Shopping_ads
AAC1210	Shopping_ads
UNI825	Shopping_ads
TK800E-60	Shopping_ads
C160	Shopping_ads
T-200M	Shopping_ads
Y644	Shopping_ads
PLENUCD	Shopping_ads
DL379B	Shopping_ads
CAP455MF	Shopping_ads
12TRACFLM	Shopping_ads
PF1420	Shopping_ads
Y1088	Shopping_ads
CE81410	Shopping_ads
SCHRVLV6	Shopping_ads
WCAULK	Shopping_ads
GRAY-PAINT	Shopping_ads
DL419	Shopping_ads
MASBRS01	Shopping_ads
FR16251	Shopping_ads
DIY-12-HP-WM-115D25-O	Shopping_ads
EM720SPKIT	Shopping_ads
SWP205	Shopping_ads
14SW90	Shopping_ads
GAS12TEE	Shopping_ads
SPY600917CF	Shopping_ads
GASCNIP12	Shopping_ads
AAC1625	Shopping_ads
GASNIP346	Shopping_ads
QFLSHUB	Shopping_ads
QFLSH4	Shopping_ads
MRFILTER01	Shopping_ads
AAPLEN1410	Shopping_ads
END1224	Shopping_ads
