product_id,title,brand,price,gtin,mpn,campaign,impressions,clicks,cost,conversions,conv_value,roas,cpc,has_brand_in_title,matched_brand,in_merchant_center
ra16ay60aj2na,RHEEM RA16AY60AJ2NA - 5.0 Ton 16.0 SEER2 Two-Stage Air Conditioner,rheem,,,,Products merchant campaign,2276,29,62.960967,0.0,0.0,0.0,2.171067827586207,True,rheem,False
ra16ay36aj2na,RHEEM RA16AY36AJ2NA - 3.0 Ton 16.0 SEER2 Two-Stage Air Conditioner,rheem,,,,Products merchant campaign,8438,65,62.782471,0.0,0.0,0.0,0.9658841692307693,True,rheem,False
"ra15ay42aj1na, r921t0855a21m4snas, rcfy4821stanmc",Rheem 3.5 Ton 15.2 SEER2 AC & 92% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,1779,33,62.45,0.0,3.9869732,0.063842645316253,1.8924242424242426,True,rheem,False
rp15ay36aj2na,RHEEM 3.0 Ton 15.2 SEER2 Two-Stage Heat Pump,rheem,,,,Products merchant campaign,4919,51,59.830965,0.460725,2078.7912,34.744403671242814,1.1731561764705882,True,rheem,False
"ra14ay60aj1na, r921t1155a24m4snas, rcfy6024stanmc",Rheem 5.0 Ton 14.0 SEER2 AC & 92% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,1950,35,58.99,0.5,7857.5,133.20054246482454,1.6854285714285715,True,rheem,False
s-hktsn10x1,Solace 10kW Electric Heat Kit - S-HKTSN10X1,solace,,,,Products merchant campaign,3302,37,56.225105,0.0,0.0,0.0,1.5195974324324324,True,solace,False
hktsn05x1,Goodman HKTSN05X1 5 kW Electric Heat Strip Kit,goodman,,,,Products merchant campaign,4519,51,55.415381,0.5,64.625,1.1661924691991201,1.0865760980392156,True,goodman,False
r921t0603a17m4snas,"RHEEM R921T0603A17M4SNAS - 60,000 BTU 92% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,4709,44,54.707032,2.0,180.61,3.3014037391024984,1.2433416363636363,True,rheem,False
gphh32431,Goodman 2 Ton 13.4 SEER2 Packaged Heat Pump - GPHH32431,goodman,,,,Products merchant campaign,498,2,54.31,0.0,0.0,0.0,27.155,True,goodman,False
gd9s801005cn,"Goodman 100,000 BTU Gas Furnace 80% AFUE Single-Stage Downflow - GD9S801005CN",goodman,,,,Products merchant campaign,1685,13,54.29,0.0,0.0,0.0,4.176153846153846,True,goodman,False
rh2ty3617stannj,RHEEM RH2TY3617STANNJ - 3.0 Ton Constant Torque Air Handler,rheem,,,,Products merchant campaign,2383,43,54.011142,0.0,0.0,0.0,1.2560730697674418,True,rheem,False
s-gr9s920603bn,Solace 92% AFUE Gas Furnace - S-GR9S920603BN,solace,,,,Products merchant campaign,2693,23,53.67,0.0,0.0,0.0,2.3334782608695654,True,solace,False
"ra16ay48aj2na, r921v1005a21m4scap, rcfy4821stanmc",Rheem 4.0 Ton 16.0 SEER2 AC & 92% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,6106,82,53.43,0.0,0.0,0.0,0.6515853658536586,True,rheem,False
"ra16ay24aj2na, rh2vy2417stacnj, wrx05021","Rheem 2.0 Ton 16.0 SEER2 AC, Air Handler & 5kW Heat Kit System",rheem,,,,Products merchant campaign,4903,68,53.236152,0.0,0.0,0.0,0.782884588235294,True,rheem,False
"ra15ay48aj1na, rcfy4821stanmc",Rheem 4.0 Ton 15.0 SEER2 AC & Evaporator Coil System,rheem,,,,Products merchant campaign,1259,22,51.87,0.0,0.0,0.0,2.3577272727272724,True,rheem,False
gd9s800603an,"Goodman 60,000 BTU Gas Furnace 80% AFUE Single-Stage Downflow - GD9S800603AN",goodman,,,,Products merchant campaign,3596,19,51.837013,0.0,0.0,0.0,2.728263842105263,True,goodman,False
r801t1255a24uhsnas,"RHEEM R801T1255A24UHSNAS - 125,000 BTU 80% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,7032,42,51.814327,0.0,0.0,0.0,1.2336744523809524,True,rheem,False
hktsn08x1,Goodman HKTSN08X1 8 kW Electric Heat Strip Kit,goodman,,,,Products merchant campaign,4137,36,51.62006,0.0,0.0,0.0,1.4338905555555557,True,goodman,False
"ra14ay24aj1na, r921t0403a17m4snas, rcfy2417stanmc","Rheem 2.0 Ton AC System 14.3 SEER2 with 40,000 BTU 92% AFUE Furnace - R-454B",rheem,,,,Products merchant campaign,3076,36,51.16,0.0,0.0,0.0,1.421111111111111,True,rheem,False
"glxs5ba4210, gr9s800804cna, capta4230c3",GOODMAN 3.5 Ton 15.2 SEER2 R-32 80% AFUE AC System (Upflow Coil),goodman,,,,Products merchant campaign,95,1,49.68,0.0,0.0,0.0,49.68,True,goodman,False
